champion,position,role
naafiri,TOP,0
nidalee,JUNGLE,0
rengar,JUNGLE,0
leblanc,MIDDLE,0
masteryi,JUNGLE,0
shaco,UTILITY,0
akali,MIDDLE,0
ekko,JUNGLE,0
elise,JUNGLE,0
evelynn,JUNGLE,0
zed,MIDDLE,0
kassadin,MIDDLE,0
khazix,JUNGLE,0
katarina,MIDDLE,0
qiyana,MIDDLE,0
talon,JUNGLE,0
fizz,MIDDLE,0
garen,TOP,1
gangplank,TOP,1
gragas,TOP,1
gwen,TOP,1
gnar,TOP,1
nasus,TOP,1
nocturne,JUNGLE,1
nilah,BOTTOM,1
darius,TOP,1
diana,MIDDLE,1
rumble,MIDDLE,1
renekton,TOP,1
reksai,JUNGLE,1
leesin,JUNGLE,1
riven,TOP,1
lillia,JUNGLE,1
mordekaiser,TOP,1
vi,JUNGLE,1
belveth,JUNGLE,1
volibear,TOP,1
briar,JUNGLE,1
viego,JUNGLE,1
sett,TOP,1
shyvana,JUNGLE,1
xinzhao,JUNGLE,1
aatrox,TOP,1
ambessa,TOP,1
yasuo,BOTTOM,1
monkeyking,TOP,1
olaf,TOP,1
yone,MIDDLE,1
yorick,TOP,1
udyr,TOP,1
urgot,TOP,1
warwick,TOP,1
irelia,MIDDLE,1
illaoi,TOP,1
jarvaniv,JUNGLE,1
jax,TOP,1
camille,TOP,1
kayn,JUNGLE,1
kled,TOP,1
trundle,TOP,1
tryndamere,TOP,1
pantheon,MIDDLE,1
fiora,TOP,1
hecarim,JUNGLE,1
graves,JUNGLE,2
draven,BOTTOM,2
lucian,BOTTOM,2
missfortune,BOTTOM,2
varus,TOP,2
vayne,BOTTOM,2
samira,BOTTOM,2
smolder,BOTTOM,2
sivir,BOTTOM,2
akshan,MIDDLE,2
aphelios,BOTTOM,2
ashe,BOTTOM,2
ezreal,BOTTOM,2
xayah,BOTTOM,2
zeri,BOTTOM,2
jayce,TOP,2
jhin,BOTTOM,2
jinx,BOTTOM,2
kaisa,BOTTOM,2
kalista,BOTTOM,2
caitlyn,BOTTOM,2
kogmaw,BOTTOM,2
corki,MIDDLE,2
quinn,TOP,2
kindred,JUNGLE,2
tristana,BOTTOM,2
twitch,BOTTOM,2
teemo,TOP,2
neeko,MIDDLE,3
ryze,TOP,3
lux,UTILITY,3
lissandra,MIDDLE,3
malzahar,MIDDLE,3
morgana,JUNGLE,3
veigar,MIDDLE,3
vex,MIDDLE,3
velkoz,MIDDLE,3
brand,UTILITY,3
vladimir,TOP,3
viktor,MIDDLE,3
sylas,MIDDLE,3
swain,UTILITY,3
syndra,MIDDLE,3
ahri,MIDDLE,3
aurelionsol,MIDDLE,3
azir,MIDDLE,3
annie,MIDDLE,3
anivia,MIDDLE,3
aurora,MIDDLE,3
orianna,MIDDLE,3
zyra,JUNGLE,3
xerath,MIDDLE,3
zoe,MIDDLE,3
ziggs,MIDDLE,3
karma,UTILITY,3
karthus,JUNGLE,3
cassiopeia,BOTTOM,3
kennen,TOP,3
kayle,TOP,3
taliyah,MIDDLE,3
twistedfate,MIDDLE,3
fiddlesticks,JUNGLE,3
heimerdinger,TOP,3
hwei,MIDDLE,3
galio,MIDDLE,4
nautilus,UTILITY,4
nunu,JUNGLE,4
rammus,JUNGLE,4
leona,UTILITY,4
rell,UTILITY,4
maokai,UTILITY,4
malphite,TOP,4
drmundo,TOP,4
braum,UTILITY,4
blitzcrank,UTILITY,4
poppy,TOP,4
sion,TOP,4
sejuani,TOP,4
shen,UTILITY,4
skarner,TOP,4
singed,TOP,4
amumu,UTILITY,4
alistar,UTILITY,4
ornn,MIDDLE,4
zac,MIDDLE,4
chogath,TOP,4
ksante,TOP,4
tahmkench,TOP,4
nami,UTILITY,5
rakan,UTILITY,5
renata,UTILITY,5
lulu,UTILITY,5
milio,UTILITY,5
bard,UTILITY,5
senna,UTILITY,5
seraphine,UTILITY,5
sona,UTILITY,5
soraka,UTILITY,5
thresh,UTILITY,5
ivern,JUNGLE,5
yuumi,UTILITY,5
janna,UTILITY,5
zilean,UTILITY,5
taric,UTILITY,5
pyke,UTILITY,5
